trial,kind,group,status,physical_execution,actual_tabletop_route,lift_success,flip_success,last_scored_gait,last_scored_gait_pass,last_passed_gait,g1_original_plan_gate_passed,observed_thumb_free_stable_hold,observed_thumb_free_supports,final_gait_world_translation_mm,final_gait_world_rotation_rad,final_gait_contacts_thumb_index_middle_ring_pinky,first_world_instability_s,first_low_after_lift_s,entered_policy,operation_steps,policy_action_mode,unchanged_policy_actions,static_hold_scored_seconds,static_hold_fixed_world_stable,static_hold_world_drift_mm,static_hold_world_rotation_rad,basic_10mm,strict_2mm,operation_fixed_world_stable,slider_travel_mm,endpoint_max_errors_mm,operation_drop,operation_world_drift_mm,operation_world_rotation_rad,operation_hand_drift_mm,operation_hand_rotation_rad,required_operation_success,endpoint_and_retention_cycles,continuous_whole_success,abort_phase,abort_reason,raw_failure_class,caution
R3-05-candidate2-aligned-next9,development,B,ended,True,True,True,True,aligned_next9_support_hold,True,aligned_next9_support_hold,False,False,[],6.889407541821232,0.16019218766591325,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-06-candidate2-middle-object-feedback,development,B,ended,True,True,,True,four_held_next10_support_hold,False,four_held_next10_5,False,False,[],8.789319247261101,0.23904203183374131,"[1.0, 0.0, 0.0, 1.0, 0.8]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_four_held_next10_support_hold,Required support contact not sustained: four_held_next10_support_hold digit 2,ValueError,No policy evaluation; not a teacher/student failure
R3-07-candidate2-index-bottom-rrt,development,B,ended,True,True,True,True,index_four_support_hold,True,index_four_support_hold,False,False,[],5.061374493323566,0.031820393727580394,"[1.0, 1.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-08-candidate2-middle-object-cap12,development,B,ended,True,True,,True,four_held_next10_support_hold,False,four_held_next10_5,False,False,[],8.886544725557854,0.24160722924035039,"[1.0, 0.0, 0.9666666666666667, 1.0, 0.5666666666666667]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_four_held_next10_support_hold,Required support contact not sustained: four_held_next10_support_hold digit 4,ValueError,No policy evaluation; not a teacher/student failure
R3-09-candidate2-index-plus-pinky,development,B,ended,True,True,True,True,pinky_four_support_hold,True,pinky_four_support_hold,False,False,[],5.019742617041918,0.035021873217375876,"[1.0, 1.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-10-candidate2-four-support-thumb-escape,development,B,ended,True,True,,True,thumb_escape_move,False,thumb_escape_baseline_hold,False,False,[],12.350390397889342,0.2345443396392893,"[0.9666666666666667, 1.0, 0.5333333333333333, 1.0, 0.8333333333333334]",65.03333672508597,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_thumb_escape_move,Gait fixed-reference stability failed: thumb_escape_move,ValueError,No policy evaluation; not a teacher/student failure
R3-11-candidate2-thumb-ring-depreload,development,B,ended,True,True,,True,thumb_escape_hold,False,thumb_escape_ring_depreload_move,False,True,"[[""index"", ""middle"", ""pinky""]]",5.617920212113598,0.06098261748307189,"[0.0, 1.0, 1.0, 0.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_thumb_escape_hold,Required support contact not sustained: thumb_escape_hold digit 3,ValueError,No policy evaluation; not a teacher/student failure
R3-12-candidate2-contact-corridor-teacher,development,B,ended,True,True,True,True,thumb_slider_contact_hold,True,thumb_slider_contact_hold,True,True,"[[""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""]]",5.676763649285448,0.09136644635697737,"[1.0, 1.0, 1.0, 0.0, 1.0]",77.63333738222718,,True,600,full,True,,,,,False,False,False,0.9369440376758575,"[39.95717033743858, 0.8565783500671387, 39.08359721302986, 0.9369440376758575]",False,39.34839001799033,3.07338185810418,39.34842067772123,3.0734396234208408,False,0,False,,,operation_pose_escape,Development run; not independent validation
R3-13-candidate2-no-policy-hold20,development,B,ended,True,True,True,True,thumb_slider_contact_hold,True,thumb_slider_contact_hold,True,True,"[[""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""]]",5.676763649285448,0.09136644635697737,"[1.0, 1.0, 1.0, 0.0, 1.0]",79.70000415667892,,False,0,not_executed,,20.0,False,2.4197943439288694,0.550263979928474,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R3-14-candidate2-thumb-only-teacher,development,B,ended,True,True,True,True,thumb_slider_contact_hold,True,thumb_slider_contact_hold,True,True,"[[""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""]]",5.676763649285448,0.09136644635697737,"[1.0, 1.0, 1.0, 0.0, 1.0]",82.03333761170506,,True,600,thumb-only,False,,,,,False,False,False,41.9886065647006,"[26.70271225273609, 0.0, 1.9599678553640851, 0.0]",False,19.98070423060292,0.9788012470336174,19.977949094744066,0.9787956878031299,False,1,False,,,operation_endpoint_error,Action-component ablation; not unchanged full teacher
R3-15-A-functional-current-wrist,development,A,ended,True,False,,,,,,False,False,[],,,,,,True,600,full,True,,,,,True,True,True,40.01196566969156,"[0.8098459430038938, 0.0, 0.06777463480830276, 0.0]",False,4.4502200896355015,0.23963228381833102,4.481921910731175,0.24040761359075322,True,2,False,,,,Independent preset A; no acquisition
R3-16-candidate2-middle-position-hold,development,B,ended,True,True,,True,slider_support_feedback_hold22,False,thumb_slider_contact_hold,True,True,"[[""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""], [""index"", ""middle"", ""pinky""]]",7.493006366850034,0.6010178072864766,"[0.990909090909091, 1.0, 0.9681818181818181, 0.0, 1.0]",77.50000404193997,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_slider_support_feedback_hold22,Gait fixed-reference stability failed: slider_support_feedback_hold22,ValueError,No policy evaluation; not a teacher/student failure
